Label,Category,Set,reps,pred_reps
bench,heavy,7,5,5
bench,heavy,62,5,4
bench,heavy,67,5,5
bench,heavy,80,5,5
bench,medium,31,10,10
bench,medium,34,10,9
bench,medium,50,10,8
dead,heavy,13,5,5
dead,medium,1,10,12
dead,medium,27,10,11
dead,medium,69,10,10
ohp,heavy,25,5,4
ohp,heavy,71,5,4
ohp,heavy,76,5,5
rest,sitting,89,10,12
rest,standing,19,10,11
row,heavy,8,5,5
row,heavy,42,5,5
row,heavy,65,5,5
row,heavy,91,5,5
row,medium,32,10,10
row,medium,40,10,10
row,medium,49,10,10
row,medium,53,10,11
row,medium,63,10,11
squat,heavy,15,5,5
squat,heavy,73,5,5
